admissible_recovery,constraint_envelope_pass,controller,floor_contact_load_N,floor_contact_load_bodyweights,floor_penetration_m,integration_floor_contact_load_N,joint_excess_duration_s,joint_excess_max_rad,max_continuous_hold_s,max_velocity_rad_s,pair,recovery_sim_s,reporting_only_error_repaired,seed,self_penetration_m,stable_margins,standing_sway,status,success,termination_reason,torque_ratio,truncation_reason,worst_joint
False,False,A_reference,2273.1989367337583,5.521613015233867,0.023386735588116075,2273.965632125112,1.056,0.051144858191051856,1.2630000000004218,20.319237538823966,6,6.801000000000819,False,26092405,0.003130029311188014,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,1517.7514694145245,3.6866268640134856,0.008405904917033923,1521.8208907249768,1.051,0.0412353084420376,2.000000000000668,8.067880667518075,6,4.7610000000005535,True,26092405,0.003130029311188014,"{""base_angular_rad_s"": 0.10838620123920217, ""base_linear_m_s"": 0.00012628407296617905, ""com_linear_m_s"": 0.021347277407998883, ""feet_lower_bodyweights"": 0.18175416352016271, ""feet_upper_bodyweights"": 0.1753577465153704, ""floor_penetration_m"": 1.5165919454582927e-05, ""height_m"": 0.00966039712258504, ""joint_limit_rad"": 0.0001, ""joint_rad_s"": 0.30635374826917644, ""left_drift_m"": 0.02120518386273043, ""left_support_bodyweights"": 0.33742678969487394, ""other_weight"": 1e-05, ""pelvis_drift_m"": 0.03578732307655176, ""right_drift_m"": 0.013976113159464128, ""right_support_bodyweights"": 0.3819992438559711, ""self_penetration_m"": 0.0001, ""support_gap_m"": 2e-06, ""tilt_deg"": 13.219287112597163, ""torso_angular_rad_s"": 0.10712225919806334}","{""max_base_angular_rad_s"": 0.14161379876079783, ""max_torso_angular_rad_s"": 0.14287774080193666, ""maximum_torso_tilt_deg"": 1.7807128874028366, ""pelvis_xy_peak_to_peak_m"": [0.013039305738555385, 0.008698084190864227], ""torso_tilt_range_deg"": 1.0474846352324394}",COMPLETE,True,success,1.0,,left_ankle_pitch_joint
False,False,A_reference,2256.4591194810846,5.480951904883442,0.023445136744774497,2257.1112315616747,1.064,0.055905472616803564,0.3600000000001202,20.350434522800935,7,5.0670000000006565,False,26092406,0.0033281657387552637,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2243.2872932640757,5.448957464846119,0.02147130970753118,2244.2964840804507,1.063,0.0500624528936815,0.4650000000001553,20.427933633788832,7,5.315000000000739,False,26092406,0.0033281657387552637,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,2223.313737060539,5.4004415843783855,0.0227929276628496,2224.6530634630312,1.053,0.057916740924714105,0.0,20.311507452359614,8,4.300000000000395,False,26092407,0.0033727402020615033,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2181.468506822941,5.29879928454634,0.021413847560724286,2182.359021233248,1.052,0.05159825121338857,0.04300000000001436,20.412007506420803,8,4.359000000000415,False,26092407,0.0033727402020615033,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,2216.3127340941924,5.383436108758106,0.020671876161887565,2217.4777665660113,1.056,0.05967368216807167,0.0,20.42001927949004,9,4.21300000000037,False,26092408,0.0031336182914024607,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2199.2893163671583,5.3420861312588155,0.022782651166529402,2200.1057375646224,1.056,0.05305936108031606,0.0,20.27893295740877,9,4.262000000000386,False,26092408,0.0031336182914024607,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,2237.1795118814375,5.434121629481425,0.02353755973924932,2237.6862025334403,1.059,0.05642516164036193,0.1620000000000541,20.406649474815318,10,4.673000000000522,False,26092409,0.003526180952833453,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2224.3074141556062,5.402855231636617,0.022470088343198122,2225.2511381606014,1.058,0.05071893662125304,0.21600000000007213,20.32458722570338,10,4.799000000000564,False,26092409,0.003526180952833453,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
